animal-comments,animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-timestamp,deployment-comments,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-firmware,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
,L922103,,EARE,f,Haematopus ostralegus,O_WESTERSCHELDE,adult,512,harness,,51.15713233,3.88177128,2018-05-31T15:58:00Z,"Wachtebeke | Returned in 2019, data downloaded until 2019-05-11.",,15710,provided by the GPS unit,none,Wachtebeke,v1.0.6.5,other wireless,GPS,5651,UvA-BiTS,13.00,5651
,L918406,,EAHU,f,Haematopus ostralegus,O_WESTERSCHELDE,adult,545,harness,,51.28305629,4.31004703,2018-05-30T16:04:00Z,Doel | No data within track session.,,15711,provided by the GPS unit,none,Doel,v1.0.7.5,other wireless,GPS,5741,UvA-BiTS,13.20,5741
,L918403,,EAHR,m,Haematopus ostralegus,O_WESTERSCHELDE,adult,443,harness,,51.32009106,4.25126642,2018-05-25T16:08:00Z,"Doel | Returned in 2019, data downloaded until 2018-05-26.",,15712,provided by the GPS unit,none,Doel,v1.0.6.5,other wireless,GPS,5622,UvA-BiTS,13.30,5622
,L922112,,EARN,u,Haematopus ostralegus,O_WESTERSCHELDE,adult,490,harness,,51.11417733,3.77008769,2018-06-15T16:11:00Z,"Oostakker | Returned in 2019, no data within track session, tracker not responding.",,15713,provided by the GPS unit,none,Oostakker,v1.0.6.5,other wireless,GPS,5624,UvA-BiTS,13.20,5624
,L918405,,EAHT,f,Haematopus ostralegus,O_WESTERSCHELDE,adult,513,harness,,51.28946226,4.27404881,2018-05-28T16:00:00Z,"Doel | Alive in 2019, data downloaded (at winter location) until 2018-10-30.",,15714,provided by the GPS unit,none,Doel,v1.0.7.5,other wireless,GPS,5743,UvA-BiTS,13.40,5743
,L918402,,EAHX,f,Haematopus ostralegus,O_WESTERSCHELDE,adult,527,harness,,51.27655819,4.20476324,2018-05-25T16:16:00Z,"Verrebroek | Returned in 2019, no data received.",,15715,provided by the GPS unit,none,Verrebroek,v1.0.6.5,other wireless,GPS,5670,UvA-BiTS,13.20,5670
,L918407,,EAHV,f,Haematopus ostralegus,O_WESTERSCHELDE,adult,515,harness,,51.30221459,4.24106859,2018-05-30T16:25:00Z,Doel | No data within track session.,,15716,provided by the GPS unit,none,Doel,v1.0.7.5,other wireless,GPS,5744,UvA-BiTS,13.20,5744
,L918401,,EAHP,f,Haematopus ostralegus,O_WESTERSCHELDE,adult,497,harness,2018-08-24T00:00:00Z,51.25641020,4.20516965,2018-05-24T16:27:00Z," | Found dead in Sint-Maartensdijk (NL) on 2018-08-24, last active day is 2018-08-23.",dead,15717,provided by the GPS unit,none,,v1.0.7.5,other wireless,GPS,5742,UvA-BiTS,13.20,5742
,L922107,,EARK,m,Haematopus ostralegus,O_WESTERSCHELDE,adult,448,harness,2018-09-27T00:00:00Z,51.12683149,3.73420760,2018-06-11T16:29:00Z,"Evergem | Found dead in NP Baie de Somme (FR) on 2019-02-05, last active day is 2018-09-26.",dead,15718,provided by the GPS unit,none,Evergem,v1.0.6.5,other wireless,GPS,5672,UvA-BiTS,13.30,5672
,L918404,,EAHS,u,Haematopus ostralegus,O_WESTERSCHELDE,adult,502,harness,,51.22195507,4.03821990,2018-05-28T16:31:00Z,Kemzeke | No data received.,,15719,provided by the GPS unit,none,Kemzeke,v1.0.6.5,other wireless,GPS,5658,UvA-BiTS,13.20,5658
,L922102,,EARA,f,Haematopus ostralegus,O_WESTERSCHELDE,adult,547,harness,,51.13999734,3.83202642,2018-05-31T16:33:00Z,"Zaffelare | Returned in 2019, data downloaded until 2018-07-12.",,15720,provided by the GPS unit,none,Zaffelare,v1.0.6.5,other wireless,GPS,5645,UvA-BiTS,13.20,5645
,L918408,,EARP,f,Haematopus ostralegus,O_WESTERSCHELDE,adult,507,harness,,51.27525034,4.30581853,2018-06-22T16:35:00Z,Kallo | No data received.,,15721,provided by the GPS unit,none,Kallo,v1.0.6.5,other wireless,GPS,5653,UvA-BiTS,13.10,5653
,L178426,,EAVS,f,Haematopus ostralegus,O_WESTERSCHELDE,adult,584,harness,,51.33565671,4.24548000,2019-06-20T15:45:00Z,"Doel | Returned in 2020, data downloaded until 2019-08-03.",,15878,provided by the GPS unit,none,Doel,v1.0.7.5,other wireless,GPS,5745,UvA-BiTS,13.30,5745
